Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"scepter-of-lumina-prxy","EN-001B Scepter of Lumina (PR)","<p>Scepter of Lumina is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-001B.jpg","1","Scepter of Lumina","11","12.22","shopify","g","6EGQ56DKG0","Title","Default Title"
"stonescale-band-prxy","EN-002B Stonescale Band (PR)","<p>Stonescale Band is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-002B.jpg","1","Stonescale Band","2.72","3.02","shopify","g","WOMIVS8N48","Title","Default Title"
"insignia-of-the-corhazi-prxy","EN-003 Insignia of the Corhazi (PR)","<p>Insignia of the Corhazi is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-003.jpg","1","Insignia of the Corhazi","0.38","0.42","shopify","g","OLESLFOVKJ","Title","Default Title"
"viridian-protective-trinket-prxy","EN-004 Viridian Protective Trinket (PR)","<p>Viridian Protective Trinket is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-004.jpg","1","Viridian Protective Trinket","4.24","4.71","shopify","g","WEOIN9381Z","Title","Default Title"
"zander-deft-executor-prxy","EN-005 Zander, Deft Executor (PR)","<p>Zander, Deft Executor is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-005.jpg","1","Zander, Deft Executor","4.09","4.54","shopify","g","SDFN1902XM","Title","Default Title"
"polaris-twinkling-cauldron-prxy","EN-006B Polaris, Twinkling Cauldron (PR)","<p>Polaris, Twinkling Cauldron is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-006B.jpg","1","Polaris, Twinkling Cauldron","8.35","9.28","shopify","g","ZWO2WPZ6UU","Title","Default Title"
"reciprocity-dorumegias-call-prxy","EN-007B Reciprocity, Dorumegia's Call (PR)","<p>Reciprocity, Dorumegia's Call is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-007B.jpg","1","Reciprocity, Dorumegia's Call","2.64","2.93","shopify","g","LBARBNDKAL","Title","Default Title"
"clarent-reimagined-prxy","EN-008B Clarent, Reimagined (PR)","<p>Clarent, Reimagined is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-008B.jpg","1","Clarent, Reimagined","5.25","5.83","shopify","g","IT4P6GMZ0V","Title","Default Title"
"mantle-of-the-abyss-prxy","EN-009B Mantle of the Abyss (PR)","<p>Mantle of the Abyss is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-009B.jpg","1","Mantle of the Abyss","","","shopify","g","OAYKYW1KII","Title","Default Title"
"sablemere-wardens-grip-prxy","EN-010 Sablemere, Warden's Grip (PR)","<p>Sablemere, Warden's Grip is a promotional rare card in Grand Archive's Proxia's Vault set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRXY, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRXY/PR/EN-010.jpg","1","Sablemere, Warden's Grip","8.97","9.97","shopify","g","RWE5GZVE4I","Title","Default Title"
