Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-slime-rec-slm","EN-001 Spirit of Slime (C)","<p>Spirit of Slime is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-001.jpg","1","Spirit of Slime","0.65","0.72","shopify","g","OLDRLEOVJJ","Title","Default Title"
"silvie-wilds-whisperer-rec-slm","EN-002 Silvie, Wilds Whisperer (C)","<p>Silvie, Wilds Whisperer is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-002.jpg","1","Silvie, Wilds Whisperer","0.25","","shopify","g","1YQ5YS18WW","Title","Default Title"
"silvie-with-the-pack-rec-slm","EN-003 Silvie, With the Pack (C)","<p>Silvie, With the Pack is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-003.jpg","1","Silvie, With the Pack","0.25","","shopify","g","TQIXQKT0OO","Title","Default Title"
"silvie-slime-sovereign-rec-slm","EN-004 Silvie, Slime Sovereign (SR)","<p>Silvie, Slime Sovereign is a super rare card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/SR/EN-004.jpg","1","Silvie, Slime Sovereign","2.18","2.42","shopify","g","F6P4DNAMCF","Title","Default Title"
"bauble-of-mending-rec-slm","EN-005 Bauble of Mending (R)","<p>Bauble of Mending is a rare card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/R/EN-005.jpg","1","Bauble of Mending","0.25","","shopify","g","XPNJWT9O59","Title","Default Title"
"beastbond-ears-rec-slm","EN-006 Beastbond Ears (C)","<p>Beastbond Ears is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-006.jpg","1","Beastbond Ears","0.25","","shopify","g","7FHR67ELH1","Title","Default Title"
"beastbond-paws-rec-slm","EN-007 Beastbond Paws (C)","<p>Beastbond Paws is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-007.jpg","1","Beastbond Paws","0.25","","shopify","g","CP3GC5RXYX","Title","Default Title"
"key-slime-pudding-rec-slm","EN-008 Key Slime Pudding (R)","<p>Key Slime Pudding is a rare card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/R/EN-008.jpg","1","Key Slime Pudding","0.32","0.35","shopify","g","0QLQBKJUXZ","Title","Default Title"
"life-essence-amulet-rec-slm","EN-009 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/C/EN-009.jpg","1","Life Essence Amulet","0.25","","shopify","g","TALG5SU8SV","Title","Default Title"
"slime-nexus-rec-slm","EN-010 Slime Nexus (R)","<p>Slime Nexus is a rare card in Grand Archive's Re:Collection Slime Sovereign set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SLM, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SLM/R/EN-010.jpg","1","Slime Nexus","0.3","0.33","shopify","g","5CQ0RH0GFY","Title","Default Title"
